,cv_score,pub_lb
exp000,1.05135,0.9572
exp001,1.08492,0.9621
exp002,1.047774398555315,0.9437
exp003,1.0433960147014845,0.9374
exp004,1.0384486534654385,0.9253
exp005,1.0381230634553,0.9282
exp006,1.0339424672507869,0.9269
exp007,1.039769455125297,0.9326
exp008,1.0354697899320775,0.9279
exp009,1.034944188583046,0.9272
exp010,1.0380091862135716,0.9324
exp011,1.0328283470152846,0.92471
exp012,1.043522877488272,
exp013,1.0260803183745328,0.9214
exp014,1.0166603558576557,0.9069
exp015,1.015489915399754,0.9124
exp016,1.0068871854682568,0.8926
exp017,1.009343768398926,0.889
exp018,1.009343768398926,0.9283
exp019,1.009343768398926,0.9269
exp020,1.007742518497249,0.8887
exp021,1.011393074322291,0.8927
exp022,0.8205119224053903,0.889
exp024,0.9932485237650004,0.888
exp023,0.8110987749737045,0.8839
exp025,0.8109299953792909,0.8847
exp026,0.8110304285074103,0.8866
exp027,0.8110987749737045,
exp028,0.8120476743492105,0.8838
exp029,0.8005198124332656,0.8706
exp030,0.7997791645213802,0.8714
exp031,0.7966078882037757,0.8703
exp032,0.7974422268331292,0.8726
exp033,0.818150548562277,
exp034,0.7965727792897043,0.8704
exp035,0.8012358962687843,
exp036,0.7966078882037757,
exp037,0.7972516667530821,
exp038,0.7958314421028141,0.8703
exp039,0.7971349428785455,0.8694
exp040,0.7947694433902621,0.8709
exp041,0.7943624734927182,0.8708
exp042,0.7958589613256838,0.8643
exp043,0.7910788925763679,0.8501
exp044,0.7902640887315788,0.8489
exp045,0.7891772641677599,0.8463
exp046,0.7807215234951743,0.8441
exp046_50_seed_avg,,0.8427
exp047,0.7826109661610511,
exp048,0.7805517829685699,0.8456
exp049,0.7848426366435068,0.8478
exp050,0.7812213532679909,0.8457
exp051,0.7810555111237403,
exp052,0.7826449424914591,
exp053,0.7833329184534285,
exp054,0.7788377407954686,0.8432
exp055,0.7815981077560569,
exp056,0.781156729116426,
exp057,0.7813436357514834,
exp058,0.7796625465529419,
exp059,0.7775007677956981,0.8426
exp060,0.7794084321080644,
